Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%)
India,United Kingdom,2022,Import, Capital goods,1911829.94,19.87
India,United Kingdom,2022,Import,Machinery and Transport Equipment,1875164.67,19.49
India,Thailand,2022,Import,Plastic or Rubber,1811237.65,16.1
India,Singapore,2022,Import,Plastic or Rubber,1682713.68,6.89
India,Japan,2022,Import,Plastic or Rubber,1672858.49,10.62
India,United Kingdom,2022,Import,Mach and Elec,1612880.60,16.76
India,United Arab Emirates,2022,Import,Plastic or Rubber,1587110.40,2.95
India,Tanzania,2022,Import,Metals,1453951.45,51.32
India,France,2022,Import,Mach and Elec,1449097.13,34.14
India,United Kingdom,2022,Import,Metals,1435788.48,14.92
India,Germany,2022,Import,Metals,1406943.10,10.12
India,Saudi Arabia,2022,Import,Plastic or Rubber,1312730.12,2.84
India,Malaysia,2022,Import,Metals,1256827.96,9.28
India,Thailand,2022,Import,Metals,1198800.14,10.66
India,Vietnam,2022,Import,Metals,1178975.96,13.09
India,Singapore,2022,Import,Metals,1124255.17,4.6
India,"Other Asia, nes",2022,Import,Plastic or Rubber,1069221.27,13.71
India,South Africa,2022,Import,Metals,1043679.35,9.35
India,Germany,2022,Import,Plastic or Rubber,945452.05,6.8
India,Malaysia,2022,Import,Plastic or Rubber,783171.04,5.78
India,Vietnam,2022,Import,Plastic or Rubber,713809.10,7.93
India,Belgium,2022,Import,Plastic or Rubber,618325.18,6.32
India,Netherlands,2022,Import,Plastic or Rubber,434655.98,7.34
India,Indonesia,2022,Import,Plastic or Rubber,428887.09,1.5
